task_id,prompt,declaration,canonical_solution,test,example_test
Rust/14,"
/*
 Return list of all prefixes from shortest to longest of the input string
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn all_prefixes(string: String) -> Vec<String>{

","
   let mut res:Vec<String> = vec![];
   let mut res_str:String = String::new();

for c in string.chars(){
    res_str.push(c);
    res.push(res_str.clone());
}
return res;
}

","
#[cfg(test)]
mod tests {
    use super::*;

 #[test]
    fn test_all_prefixes() {
        let v_empty: Vec<String> = vec![];
        assert!(all_prefixes(String::from("""")) == v_empty);
        assert!(
            all_prefixes(String::from(""asdfgh""))
                == vec![""a"", ""as"", ""asd"", ""asdf"", ""asdfg"", ""asdfgh""]
        );
        assert!(all_prefixes(String::from(""WWW"")) == vec![""W"", ""WW"", ""WWW""]);
    }

}
",None
Rust/15,"
/*
 Return a string containing space-delimited numbers starting from 0 upto n inclusive.
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn string_sequence(n:i32) -> String{

","
    let mut res:String = String::new();

    for number in 0..n + 1{
        res = res + &number.to_string() + "" "";
    }
    
    return res.trim_end().to_string();

}
","
#[cfg(test)]
mod tests {
    use super::*;

 #[test]
    fn test_string_sequence() {
        assert!(string_sequence(0) == ""0"".to_string());
        assert!(string_sequence(3) == ""0 1 2 3"".to_string());
        assert!(string_sequence(10) == ""0 1 2 3 4 5 6 7 8 9 10"".to_string());
    }

}
",None
Rust/16,"
/*
 Given a string, find out how many distinct characters (regardless of case) does it consist of
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn count_distinct_characters(str:String) -> i32{

","
    let res:HashSet<char> = str.chars().into_iter().map(|x:char| x.to_ascii_lowercase()).collect();
    return res.len() as i32;
}
","
#[cfg(test)]
mod tests {
    use super::*;

 #[test]
    fn test_count_distinct_characters() {
        assert!(count_distinct_characters("""".to_string()) == 0);
        assert!(count_distinct_characters(""abcde"".to_string()) == 5);
        assert!(
            count_distinct_characters(
                ""abcde"".to_string() + &""cade"".to_string() + &""CADE"".to_string()
            ) == 5
        );
        assert!(count_distinct_characters(""aaaaAAAAaaaa"".to_string()) == 1);
        assert!(count_distinct_characters(""Jerry jERRY JeRRRY"".to_string()) == 5);
    }

}
",None
Rust/17,"
/*
 Input to this function is a string representing musical notes in a special ASCII format.
    Your task is to parse this string and return list of integers corresponding to how many beats does each
    not last.

    Here is a legend:
    'o' - whole note, lasts four beats
    'o|' - half note, lasts two beats
    '.|' - quater note, lasts one beat
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn parse_music(music_string:String) -> Vec<i32>{

","

    let map = |x:&str| {match x {
        ""o"" => 4,
        ""o|"" => 2,
        "".|"" =>  1,
        _ => 0
    } 
};
    return music_string.split("" "").map(|x:&str| map(&x.to_string())).filter(|x:&i32| x != &0).collect();
}
","
#[cfg(test)]
mod tests {
    use super::*;

 #[test]
    fn test_parse_music() {
        assert!(parse_music("" "".to_string()) == []);
        assert!(parse_music(""o o o o"".to_string()) == vec![4, 4, 4, 4]);
        assert!(parse_music("".| .| .| .|"".to_string()) == vec![1, 1, 1, 1]);
        assert!(parse_music(""o| o| .| .| o o o o"".to_string()) == vec![2, 2, 1, 1, 4, 4, 4, 4]);
        assert!(parse_music(""o| .| o| .| o o| o o|"".to_string()) == vec![2, 1, 2, 1, 4, 2, 4, 2]);
    }

}
",None
Rust/18,"
/*
 Find how many times a given substring can be found in the original string. Count overlaping cases.
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn how_many_times(string: String, substring:String) -> i32{

","
    let mut times:i32 = 0;

    for i in 0..(string.len() as i32 - substring.len() as i32 + 1){
        if string.get(i as usize..(i + substring.len() as i32) as usize).unwrap().to_string() == substring {
            times += 1;
        }    
    }
    return times;
}
","
#[cfg(test)]
mod tests {
    use super::*;

#[test]
    fn test_how_many_times() {
        assert!(how_many_times("""".to_string(), ""x"".to_string()) == 0);
        assert!(how_many_times(""xyxyxyx"".to_string(), ""x"".to_string()) == 4);
        assert!(how_many_times(""cacacacac"".to_string(), ""cac"".to_string()) == 4);
        assert!(how_many_times(""john doe"".to_string(), ""john"".to_string()) == 1);
    }


}
",None
Rust/19,"
/*
 Input is a space-delimited string of numberals from 'zero' to 'nine'.
    Valid choices are 'zero', 'one', 'two', 'three', 'four', 'five', 'six', 'seven', 'eight' and 'nine'.
    Return the string with numbers sorted from smallest to largest
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn sort_numbers(numbers:String) -> String {

","
    let str_to_i32 = |x:&str| {match x{
            ""zero"" => 0,
            ""one"" => 1,
            ""two"" => 2,
            ""three"" => 3,
            ""four"" => 4,
            ""five"" => 5,
            ""six"" => 6,
            ""seven"" => 7,
            ""eight"" => 8,
            ""nine"" => 9,
            _ => 1000
    }};

    let i32_to_str = |x:&i32| {match x{
        0 => ""zero"".to_string(),
        1 => ""one"".to_string(),
        2 => ""two"".to_string(),
        3 => ""three"".to_string(),
        4 => ""four"".to_string(),
        5 => ""five"".to_string(),
        6 => ""six"".to_string(),
        7 => ""seven"".to_string(),
        8 => ""eight"".to_string(),
        9 => ""nine"".to_string(),
        _ => ""none"".to_string()
}};

    let mut nmbrs:Vec<i32> = numbers.split_ascii_whitespace().map(|x:&str| str_to_i32(x)).collect(); 
    nmbrs.sort();
    let res:String = nmbrs.iter().map(|x:&i32| i32_to_str(x) + "" "").collect();
    return res.trim_end().to_string();
}
","
#[cfg(test)]
mod tests {
    use super::*;

#[test]
    fn test_sort_numbers() {
        assert!(sort_numbers("""".to_string()) == """".to_string());
        assert!(sort_numbers(""three"".to_string()) == ""three"".to_string());
        assert!(sort_numbers(""three five nine"".to_string()) == ""three five nine"");
        assert!(
            sort_numbers(""five zero four seven nine eight"".to_string())
                == ""zero four five seven eight nine"".to_string()
        );
        assert!(
            sort_numbers(""six five four three two one zero"".to_string())
                == ""zero one two three four five six"".to_string()
        );
    }

}
",None
Rust/20,"
/*
 From a supplied list of numbers (of length at least two) select and return two that are the closest to each
    other and return them in order (smaller number, larger number).
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn find_closest_elements(numbers:Vec<f32>) -> (f32,f32){

","
    let mut closest_pair = (0.0,0.0);
    let mut distance:Option<f32> = None;

    for (idx, elem) in numbers.iter().enumerate(){
        for (idx2, elem2) in  numbers.iter().enumerate() {
            if idx != idx2 {
                if distance == None {
                    distance = Some((elem - elem2).abs());
                    if *elem < *elem2{
                        closest_pair = (*elem, *elem2);
                    }else{
                        closest_pair = (*elem2, *elem);
                    }

                }else{
                    let new_distance:f32= (elem - elem2).abs();
                    if new_distance < distance.unwrap(){
                        distance = Some(new_distance);

                        if *elem < *elem2{
                            closest_pair = (*elem, *elem2);
                        }else{
                            closest_pair = (*elem2, *elem);
                        }
                        
    
                    }
                }
            }
        }
    }
    return closest_pair;


}
","
#[cfg(test)]
mod tests {
    use super::*;

 #[test]
    fn test_find_closest_elements() {
        assert!(find_closest_elements(vec![1.0, 2.0, 3.9, 4.0, 5.0, 2.2]) == (3.9, 4.0));
        assert!(find_closest_elements(vec![1.0, 2.0, 5.9, 4.0, 5.0]) == (5.0, 5.9));
        assert!(find_closest_elements(vec![1.0, 2.0, 3.0, 4.0, 5.0, 2.2]) == (2.0, 2.2));
        assert!(find_closest_elements(vec![1.0, 2.0, 3.0, 4.0, 5.0, 2.0]) == (2.0, 2.0));
        assert!(find_closest_elements(vec![1.1, 2.2, 3.1, 4.1, 5.1]) == (2.2, 3.1));
    }

}
",None
Rust/21,"
/*
 Given list of numbers (of at least two elements), apply a linear transform to that list,
    such that the smallest number will become 0 and the largest will become 1
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn rescale_to_unit(numbers:Vec<f32>) -> Vec<f32> {

","
    let min_number= *numbers.iter().min_by(|a, b| a.partial_cmp(b).unwrap()).unwrap();
    let max_number=  *numbers.iter().max_by(|a, b| a.partial_cmp(b).unwrap()).unwrap();
    return numbers.iter().map(|x:&f32| (x-min_number) / (max_number - min_number)).collect();
}
","
#[cfg(test)]
mod tests {
    use super::*;

#[test]
    fn test_rescale_to_unit() {
        assert!(rescale_to_unit(vec![2.0, 49.9]) == [0.0, 1.0]);
        assert!(rescale_to_unit(vec![100.0, 49.9]) == [1.0, 0.0]);
        assert!(rescale_to_unit(vec![1.0, 2.0, 3.0, 4.0, 5.0]) == [0.0, 0.25, 0.5, 0.75, 1.0]);
        assert!(rescale_to_unit(vec![2.0, 1.0, 5.0, 3.0, 4.0]) == [0.25, 0.0, 1.0, 0.5, 0.75]);
        assert!(rescale_to_unit(vec![12.0, 11.0, 15.0, 13.0, 14.0]) == [0.25, 0.0, 1.0, 0.5, 0.75]);
    }

}
",None
Rust/22,"
/*
 Filter given list of any python values only for integers
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn filter_integers(values: Vec<Box<dyn Any>>) -> Vec<i32> {

","
        let mut out: Vec<i32> = Vec::new();
        for value in values {
            if let Some(i) = value.downcast_ref::<i32>() {
                out.push(*i);
            }
        }
        out
    }
","
#[cfg(test)]
mod tests {
    use super::*;

 #[test]
    fn test_filter_integers() {
        assert_eq!(filter_integers(vec![]), vec![]);
        let v_empty: Vec<Box<dyn Any>> = vec![];
        assert_eq!(
            filter_integers(vec![
                Box::new(4),
                Box::new(v_empty),
                Box::new(23.2),
                Box::new(9),
                Box::new(String::from(""adasd""))
            ]),
            vec![4, 9]
        );
        assert_eq!(
            filter_integers(vec![
                Box::new(3),
                Box::new('c'),
                Box::new(3),
                Box::new(3),
                Box::new('a'),
                Box::new('b')
            ]),
            vec![3, 3, 3]
        );
    }

}
",None
Rust/23,"
/*
 Return length of given string
    
*/
","
use std::{slice::Iter, cmp::{max, self}, mem::replace, collections::{HashSet, HashMap}, ops::Index, ascii::AsciiExt};
use rand::Rng;
use regex::Regex;
use md5;
use std::any::{Any, TypeId};

fn strlen(strings:String) -> i32{

","
    return strings.len() as i32;
}
","
#[cfg(test)]
mod tests {
    use super::*;

 #[test]
    fn test_strlen() {
        assert!(strlen("""".to_string()) == 0);
        assert!(strlen(""x"".to_string()) == 1);
        assert!(strlen(""asdasnakj"".to_string()) == 9);
    }

}
",None
